zip,place_name,state,lat,lon
08003,Cherry Hill,NJ,39.8805,-74.9706
08012,Blackwood,NJ,39.7901,-75.0367
08021,Clementon,NJ,39.8036,-75.0058
08027,Gibbstown,NJ,39.8231,-75.2751
08028,Glassboro,NJ,39.7068,-75.1172
08049,Magnolia,NJ,39.8538,-75.0393
08052,Maple Shade,NJ,39.9511,-74.9946
08054,Mount Laurel,NJ,39.9478,-74.9036
08055,Medford,NJ,39.8637,-74.8223
08062,Mullica Hill,NJ,39.7252,-75.2065
08075,Riverside,NJ,40.0293,-74.9497
08077,Riverton,NJ,40.002,-74.9952
08080,Sewell,NJ,39.7473,-75.0899
08081,Sicklerville,NJ,39.7354,-74.9864
08084,Stratford,NJ,39.8288,-75.0147
08085,Swedesboro,NJ,39.7529,-75.3362
08094,Williamstown,NJ,39.665,-74.971
08096,Deptford,NJ,39.7539,-74.996
08104,Camden,NJ,39.9186,-75.1078
08105,Camden,NJ,39.9484,-75.0864
08106,Audubon,NJ,39.891,-75.0724
08109,Merchantville,NJ,39.9519,-75.0482
08322,Franklinville,NJ,39.6156,-75.0409
08360,Vineland,NJ,39.4818,-75.0091
08505,Bordentown,NJ,40.1431,-74.7032
08512,Cranbury,NJ,40.3039,-74.5065
08520,Hightstown,NJ,40.2669,-74.525
08527,Jackson,NJ,40.121,-74.3017
08534,Pennington,NJ,40.3339,-74.7944
08540,Princeton,NJ,40.3666,-74.6408
08608,Trenton,NJ,40.2204,-74.7622
08609,Trenton,NJ,40.2248,-74.741
08610,Trenton,NJ,40.2016,-74.705
08618,Trenton,NJ,40.2377,-74.7821
08619,Trenton,NJ,40.2418,-74.6962
08629,Trenton,NJ,40.2196,-74.7334
08701,Lakewood,NJ,40.085,-74.2042
08724,Brick,NJ,40.0874,-74.1152
08753,Toms River,NJ,39.9771,-74.1565
08755,Toms River,NJ,39.9999,-74.2228
08807,Bridgewater,NJ,40.5904,-74.6267
08808,Broadway,NJ,40.732,-75.0516
08817,Edison,NJ,40.5171,-74.3973
08823,Franklin Park,NJ,40.4421,-74.5369
08824,Kendall Park,NJ,40.4208,-74.5529
08830,Iselin,NJ,40.5716,-74.3167
08831,Monroe Township,NJ,40.3192,-74.4285
08835,Manville,NJ,40.5399,-74.5934
08844,Hillsborough,NJ,40.4775,-74.6272
08846,Middlesex,NJ,40.5759,-74.5008
08852,Monmouth Junction,NJ,40.3869,-74.5558
08854,Piscataway,NJ,40.5515,-74.459
08857,Old Bridge,NJ,40.398,-74.3236
08859,Parlin,NJ,40.4587,-74.305
08869,Raritan,NJ,40.5711,-74.6377
08873,Somerset,NJ,40.5007,-74.5013
08876,Somerville,NJ,40.588,-74.6874
08879,South Amboy,NJ,40.464,-74.2742
08888,Whitehouse,NJ,40.6194,-74.7406
08901,New Brunswick,NJ,40.4891,-74.4482
08902,North Brunswick,NJ,40.4538,-74.4823
10044,New York,NY,40.7618,-73.9505
10302,Staten Island,NY,40.6306,-74.1379
10303,Staten Island,NY,40.6301,-74.1607
10304,Staten Island,NY,40.6102,-74.0878
10305,Staten Island,NY,40.5973,-74.0768
10306,Staten Island,NY,40.5682,-74.1184
10310,Staten Island,NY,40.6324,-74.1171
10312,Staten Island,NY,40.5457,-74.1792
10314,Staten Island,NY,40.6039,-74.1472
10901,Suffern,NY,41.1177,-74.1241
10913,Blauvelt,NY,41.0626,-73.9629
10952,Monsey,NY,41.1163,-74.0736
10954,Nanuet,NY,41.0977,-74.0109
10956,New City,NY,41.1472,-73.9962
10977,Spring Valley,NY,41.1158,-74.0474
10980,Stony Point,NY,41.2292,-73.9962
10983,Tappan,NY,41.0278,-73.9491
10984,Thiells,NY,41.2078,-74.0154
11001,Floral Park,NY,40.7236,-73.7058
11003,Elmont,NY,40.6976,-73.7049
11024,Great Neck,NY,40.8171,-73.7416
11040,New Hyde Park,NY,40.7294,-73.6828
11050,Port Washington,NY,40.835,-73.6964
11101,Long Island City,NY,40.7446,-73.9345
11103,Astoria,NY,40.7627,-73.9149
11104,Sunnyside,NY,40.7436,-73.9216
11105,Astoria,NY,40.7763,-73.911
11106,Astoria,NY,40.7608,-73.9295
11203,Brooklyn,NY,40.6505,-73.9349
11204,Brooklyn,NY,40.6179,-73.9856
11205,Brooklyn,NY,40.6924,-73.9666
11206,Brooklyn,NY,40.7012,-73.9436
11207,Brooklyn,NY,40.6705,-73.894
11208,Brooklyn,NY,40.6762,-73.8736
11209,Brooklyn,NY,40.6251,-74.0303
11211,Brooklyn,NY,40.7095,-73.9563
11212,Brooklyn,NY,40.6625,-73.9145
11214,Brooklyn,NY,40.6016,-73.9968
11215,Brooklyn,NY,40.6669,-73.9828
11216,Brooklyn,NY,40.6794,-73.9496
11218,Brooklyn,NY,40.6424,-73.9758
11219,Brooklyn,NY,40.6336,-73.996
11220,Brooklyn,NY,40.6412,-74.0133
11223,Brooklyn,NY,40.5979,-73.9743
11224,Brooklyn,NY,40.5767,-73.9884
11226,Brooklyn,NY,40.6467,-73.957
11228,Brooklyn,NY,40.6174,-74.0121
11229,Brooklyn,NY,40.6011,-73.9475
11232,Brooklyn,NY,40.6521,-74.0018
11233,Brooklyn,NY,40.6784,-73.9211
11234,Brooklyn,NY,40.6205,-73.9239
11235,Brooklyn,NY,40.5839,-73.9536
11237,Brooklyn,NY,40.7006,-73.918
11238,Brooklyn,NY,40.679,-73.9644
11249,Brooklyn,NY,40.6451,-73.945
11354,Flushing,NY,40.7667,-73.8241
11355,Flushing,NY,40.7536,-73.8226
11357,Whitestone,NY,40.7851,-73.8096
11358,Flushing,NY,40.7606,-73.7968
11362,Little Neck,NY,40.7591,-73.7326
11363,Little Neck,NY,40.7722,-73.7454
11364,Oakland Gardens,NY,40.7428,-73.7588
11365,Fresh Meadows,NY,40.7374,-73.7951
11366,Fresh Meadows,NY,40.7272,-73.7949
11367,Flushing,NY,40.728,-73.8195
11368,Corona,NY,40.7453,-73.8611
11369,East Elmhurst,NY,40.7613,-73.8739
11370,East Elmhurst,NY,40.7611,-73.8916
11372,Jackson Heights,NY,40.7513,-73.883
11373,Elmhurst,NY,40.7351,-73.8776
11374,Rego Park,NY,40.7278,-73.8602
11375,Forest Hills,NY,40.7229,-73.8473
11377,Woodside,NY,40.745,-73.9069
11378,Maspeth,NY,40.7239,-73.8997
11379,Middle Village,NY,40.7173,-73.8792
11385,Ridgewood,NY,40.7036,-73.8961
11413,Springfield Gardens,NY,40.6645,-73.7559
11414,Howard Beach,NY,40.6588,-73.8438
11417,Ozone Park,NY,40.6769,-73.8448
11419,South Richmond Hill,NY,40.6868,-73.823
11420,South Ozone Park,NY,40.6744,-73.819
11422,Rosedale,NY,40.6621,-73.7353
11423,Hollis,NY,40.7142,-73.7677
11427,Queens Village,NY,40.7277,-73.7489
11429,Queens Village,NY,40.709,-73.7401
11430,Jamaica,NY,40.6472,-73.7827
11432,Jamaica,NY,40.7119,-73.7944
11433,Jamaica,NY,40.6969,-73.7877
11434,Jamaica,NY,40.6775,-73.7758
11435,Jamaica,NY,40.7029,-73.8111
11436,Jamaica,NY,40.6763,-73.7966
11501,Mineola,NY,40.7469,-73.6398
11520,Freeport,NY,40.6536,-73.5866
11542,Glen Cove,NY,40.865,-73.6277
11552,West Hempstead,NY,40.6929,-73.6539
11559,Lawrence,NY,40.614,-73.733
11563,Lynbrook,NY,40.6571,-73.6741
11566,Merrick,NY,40.6685,-73.5536
11570,Rockville Centre,NY,40.6637,-73.638
11572,Oceanside,NY,40.6362,-73.6375
11577,Roslyn Heights,NY,40.7845,-73.6403
11580,Valley Stream,NY,40.6742,-73.7057
11590,Westbury,NY,40.7557,-73.5723
11691,Far Rockaway,NY,40.6006,-73.758
11693,Far Rockaway,NY,40.6076,-73.8198
11703,North Babylon,NY,40.7321,-73.3236
11704,West Babylon,NY,40.7135,-73.3546
11706,Bay Shore,NY,40.7051,-73.243
11710,Bellmore,NY,40.6729,-73.5365
11713,Bellport,NY,40.7733,-72.9469
11714,Bethpage,NY,40.74,-73.4857
11715,Blue Point,NY,40.7501,-73.0352
11717,Brentwood,NY,40.7809,-73.2503
11720,Centereach,NY,40.8705,-73.0822
11721,Centerport,NY,40.8929,-73.3754
11725,Commack,NY,40.843,-73.2799
11727,Coram,NY,40.885,-73.0069
11729,Deer Park,NY,40.7591,-73.3257
11731,East Northport,NY,40.857,-73.3146
11733,East Setauket,NY,40.9426,-73.1116
11735,Farmingdale,NY,40.7315,-73.4327
11738,Farmingville,NY,40.8366,-73.0413
11747,Melville,NY,40.7946,-73.403
11757,Lindenhurst,NY,40.6884,-73.3745
11763,Medford,NY,40.8174,-72.9852
11764,Miller Place,NY,40.9436,-72.9913
11768,Northport,NY,40.9051,-73.3309
11772,Patchogue,NY,40.7609,-72.9871
11776,Port Jefferson Station,NY,40.9136,-73.0464
11780,Saint James,NY,40.8813,-73.1591
11784,Selden,NY,40.8699,-73.0448
11787,Smithtown,NY,40.8542,-73.2138
11788,Hauppauge,NY,40.8231,-73.1958
11789,Sound Beach,NY,40.9567,-72.9742
11791,Syosset,NY,40.8146,-73.5024
11795,West Islip,NY,40.7117,-73.3007
11801,Hicksville,NY,40.7623,-73.523
11901,Riverhead,NY,40.9262,-72.652
11949,Manorville,NY,40.8421,-72.8002
11951,Mastic Beach,NY,40.7657,-72.8537
11959,Quogue,NY,40.8226,-72.6012
11960,Remsenburg,NY,40.8086,-72.7064
11961,Ridge,NY,40.9018,-72.8881
11978,Westhampton Beach,NY,40.8295,-72.6473
18015,Bethlehem,PA,40.6002,-75.3805
18017,Bethlehem,PA,40.6622,-75.3903
18018,Bethlehem,PA,40.6278,-75.3928
18020,Bethlehem,PA,40.6693,-75.3349
18037,Coplay,PA,40.6701,-75.4955
18040,Easton,PA,40.7449,-75.2217
18042,Easton,PA,40.6516,-75.224
18045,Easton,PA,40.6957,-75.2865
18052,Whitehall,PA,40.6567,-75.5041
18064,Nazareth,PA,40.745,-75.3199
18067,Northampton,PA,40.6998,-75.4874
18078,Schnecksville,PA,40.6819,-75.6239
18102,Allentown,PA,40.6068,-75.4781
18103,Allentown,PA,40.5891,-75.4645
18104,Allentown,PA,40.6018,-75.5225
18109,Allentown,PA,40.6366,-75.4405
19002,Ambler,PA,40.1809,-75.2156
19003,Ardmore,PA,40.002,-75.2966
19007,Bristol,PA,40.1159,-74.8536
19014,Aston,PA,39.8643,-75.4332
19020,Bensalem,PA,40.1109,-74.9378
19021,Croydon,PA,40.0933,-74.8991
19023,Darby,PA,39.9176,-75.2696
19030,Fairless Hills,PA,40.1748,-74.8519
19033,Folsom,PA,39.8901,-75.3296
19035,Gladwyne,PA,40.0451,-75.2821
19038,Glenside,PA,40.1096,-75.155
19046,Jenkintown,PA,40.098,-75.1078
19047,Langhorne,PA,40.1813,-74.9104
19050,Lansdowne,PA,39.9375,-75.2637
19054,Levittown,PA,40.1681,-74.8231
19055,Levittown,PA,40.1483,-74.8371
19056,Levittown,PA,40.1519,-74.8826
19063,Media,PA,39.9188,-75.3991
19067,Morrisville,PA,40.2084,-74.8291
19073,Newtown Square,PA,39.9863,-75.407
19083,Havertown,PA,39.9774,-75.3106
19087,Wayne,PA,40.0612,-75.3999
19090,Willow Grove,PA,40.1567,-75.1269
19096,Wynnewood,PA,40.0,-75.276
19103,Philadelphia,PA,39.9513,-75.1741
19107,Philadelphia,PA,39.9487,-75.1593
19111,Philadelphia,PA,40.0596,-75.0818
19114,Philadelphia,PA,40.0634,-74.999
19115,Philadelphia,PA,40.0903,-75.041
19116,Philadelphia,PA,40.1166,-75.0198
19120,Philadelphia,PA,40.0343,-75.1213
19122,Philadelphia,PA,39.978,-75.1459
19124,Philadelphia,PA,40.0178,-75.0895
19126,Philadelphia,PA,40.0568,-75.1379
19129,Philadelphia,PA,40.0118,-75.1861
19131,Philadelphia,PA,39.9845,-75.2282
19132,Philadelphia,PA,39.9954,-75.1698
19133,Philadelphia,PA,39.9925,-75.1415
19136,Philadelphia,PA,40.0422,-75.0244
19138,Philadelphia,PA,40.0568,-75.1569
19139,Philadelphia,PA,39.9612,-75.2303
19142,Philadelphia,PA,39.9223,-75.2338
19143,Philadelphia,PA,39.9448,-75.2288
19145,Philadelphia,PA,39.9227,-75.1812
19146,Philadelphia,PA,39.9379,-75.1794
19147,Philadelphia,PA,39.9362,-75.1563
19148,Philadelphia,PA,39.9207,-75.1595
19149,Philadelphia,PA,40.0369,-75.0664
19150,Philadelphia,PA,40.0726,-75.1706
19154,Philadelphia,PA,40.0897,-74.9781
19355,Malvern,PA,40.0468,-75.531
19380,West Chester,PA,39.9845,-75.5962
19401,Norristown,PA,40.1245,-75.3304
19403,Norristown,PA,40.1496,-75.3796
19406,King Of Prussia,PA,40.0956,-75.3737
19422,Blue Bell,PA,40.1576,-75.2799
19428,Conshohocken,PA,40.0825,-75.3044
19436,Gwynedd,PA,40.2021,-75.2507
19440,Hatfield,PA,40.2778,-75.2975
19444,Lafayette Hill,PA,40.0896,-75.2601
19446,Lansdale,PA,40.2378,-75.2955
19460,Phoenixville,PA,40.1267,-75.5272
19703,Claymont,DE,39.8044,-75.4649
19801,Wilmington,DE,39.7378,-75.5497
19802,Wilmington,DE,39.7564,-75.534
19804,Wilmington,DE,39.7168,-75.6184
19805,Wilmington,DE,39.7434,-75.5827
19809,Wilmington,DE,39.7647,-75.5069
20001,Washington,DC,38.9122,-77.0177
20002,Washington,DC,38.9024,-76.9901
20005,Washington,DC,38.9067,-77.0312
20007,Washington,DC,38.9144,-77.074
20009,Washington,DC,38.9202,-77.0375
20010,Washington,DC,38.9327,-77.0322
20011,Washington,DC,38.9518,-77.0203
20016,Washington,DC,38.9381,-77.086
20017,Washington,DC,38.9367,-76.994
20018,Washington,DC,38.9277,-76.9762
20019,Washington,DC,38.8902,-76.9376
20020,Washington,DC,38.86,-76.9742
20024,Washington,DC,38.8759,-77.016
20032,Washington,DC,38.8338,-76.9995
20037,Washington,DC,38.9014,-77.0504
20050,Washington,DC,38.8933,-77.0146
20223,Washington,DC,38.8933,-77.0146
20373,Naval Anacost Annex,DC,38.8951,-77.0364
20390,Washington,DC,38.8933,-77.0146
20509,Washington,DC,38.8987,-77.0356
20534,Washington,DC,38.8941,-77.0125
20585,Washington,DC,38.8933,-77.0146
20705,Beltsville,MD,39.0455,-76.9242
20706,Lanham,MD,38.9675,-76.8551
20707,Laurel,MD,39.1077,-76.872
20708,Laurel,MD,39.0499,-76.8345
20710,Bladensburg,MD,38.9421,-76.9261
20715,Bowie,MD,38.9797,-76.7435
20716,Bowie,MD,38.9263,-76.7098
20720,Bowie,MD,38.9885,-76.791
20721,Bowie,MD,38.9194,-76.7871
20723,Laurel,MD,39.1208,-76.8435
20724,Laurel,MD,39.0958,-76.8155
20735,Clinton,MD,38.7549,-76.9026
20737,Riverdale,MD,38.9601,-76.9147
20740,College Park,MD,38.9963,-76.9299
20743,Capitol Heights,MD,38.8897,-76.8925
20744,Fort Washington,MD,38.7587,-76.9835
20745,Oxon Hill,MD,38.8108,-76.9898
20746,Suitland,MD,38.8425,-76.9222
20747,District Heights,MD,38.8539,-76.8891
20748,Temple Hills,MD,38.8222,-76.9478
20755,Fort George G Meade,MD,39.1059,-76.7467
20770,Greenbelt,MD,38.9996,-76.884
20772,Upper Marlboro,MD,38.8377,-76.798
20774,Upper Marlboro,MD,38.8682,-76.8156
20781,Hyattsville,MD,38.9506,-76.9347
20782,Hyattsville,MD,38.9647,-76.9649
20783,Hyattsville,MD,39.0005,-76.9723
20784,Hyattsville,MD,38.9513,-76.8958
20785,Hyattsville,MD,38.9223,-76.8755
20794,Jessup,MD,39.1484,-76.7922
20814,Bethesda,MD,39.0003,-77.1022
20815,Chevy Chase,MD,38.978,-77.082
20817,Bethesda,MD,38.9896,-77.1538
20832,Olney,MD,39.1526,-77.0749
20850,Rockville,MD,39.087,-77.168
20852,Rockville,MD,39.0496,-77.1204
20854,Potomac,MD,39.0388,-77.1922
20855,Derwood,MD,39.1345,-77.1477
20861,Ashton,MD,39.151,-76.9924
20862,Brinklow,MD,39.1838,-77.0163
20866,Burtonsville,MD,39.0922,-76.9339
20871,Clarksburg,MD,39.2387,-77.2794
20872,Damascus,MD,39.2761,-77.2131
20874,Germantown,MD,39.1355,-77.2822
20876,Germantown,MD,39.188,-77.2358
20877,Gaithersburg,MD,39.1419,-77.189
20879,Gaithersburg,MD,39.173,-77.1855
20886,Montgomery Village,MD,39.1757,-77.1873
20899,Gaithersburg,MD,39.1403,-77.222
20901,Silver Spring,MD,39.0191,-77.0076
20902,Silver Spring,MD,39.04,-77.0444
20903,Silver Spring,MD,39.0095,-76.9846
20904,Silver Spring,MD,39.0668,-76.9969
20905,Silver Spring,MD,39.1148,-77.0059
20906,Silver Spring,MD,39.084,-77.0613
20910,Silver Spring,MD,38.9982,-77.0338
21029,Clarksville,MD,39.2125,-76.9515
21030,Cockeysville,MD,39.4919,-76.6677
21032,Crownsville,MD,39.0489,-76.5935
21043,Ellicott City,MD,39.2548,-76.8001
21045,Columbia,MD,39.2051,-76.8322
21054,Gambrills,MD,39.0407,-76.6819
21060,Glen Burnie,MD,39.1702,-76.5798
21061,Glen Burnie,MD,39.1618,-76.6297
21074,Hampstead,MD,39.6146,-76.8644
21075,Elkridge,MD,39.2058,-76.7531
21076,Hanover,MD,39.1551,-76.7215
21090,Linthicum Heights,MD,39.2092,-76.6681
21093,Lutherville Timonium,MD,39.4332,-76.6546
21102,Manchester,MD,39.6747,-76.8941
21113,Odenton,MD,39.0762,-76.6996
21117,Owings Mills,MD,39.4269,-76.7769
21120,Parkton,MD,39.6422,-76.6737
21133,Randallstown,MD,39.3746,-76.8002
21136,Reisterstown,MD,39.46,-76.8135
21144,Severn,MD,39.1275,-76.698
21146,Severna Park,MD,39.0811,-76.5577
21152,Sparks Glencoe,MD,39.5483,-76.6819
21155,Upperco,MD,39.5676,-76.7972
21157,Westminster,MD,39.5642,-76.9807
21161,White Hall,MD,39.6618,-76.5666
21163,Woodstock,MD,39.3498,-76.8456
21201,Baltimore,MD,39.2946,-76.6252
21202,Baltimore,MD,39.2998,-76.6075
21204,Towson,MD,39.4072,-76.6038
21205,Baltimore,MD,39.3009,-76.5799
21206,Baltimore,MD,39.3365,-76.5411
21207,Gwynn Oak,MD,39.3296,-76.7341
21208,Pikesville,MD,39.3764,-76.729
21209,Baltimore,MD,39.3716,-76.6744
21212,Baltimore,MD,39.3626,-76.61
21213,Baltimore,MD,39.3127,-76.581
21214,Baltimore,MD,39.3521,-76.5644
21215,Baltimore,MD,39.3446,-76.6794
21217,Baltimore,MD,39.3064,-76.6393
21218,Baltimore,MD,39.3265,-76.6048
21219,Sparrows Point,MD,39.2296,-76.4455
21220,Middle River,MD,39.3401,-76.4153
21222,Dundalk,MD,39.2655,-76.4935
21224,Baltimore,MD,39.2876,-76.5568
21225,Brooklyn,MD,39.2259,-76.6153
21227,Halethorpe,MD,39.2309,-76.6969
21228,Catonsville,MD,39.2782,-76.7401
21229,Baltimore,MD,39.2856,-76.6899
21230,Baltimore,MD,39.2645,-76.6224
21231,Baltimore,MD,39.2892,-76.59
21234,Parkville,MD,39.3876,-76.5418
21236,Nottingham,MD,39.3914,-76.4871
21239,Baltimore,MD,39.361,-76.5891
21244,Windsor Mill,MD,39.3331,-76.7849
21250,Baltimore,MD,39.2582,-76.7131
21286,Towson,MD,39.4143,-76.5761
21701,Frederick,MD,39.4461,-77.335
21702,Frederick,MD,39.4926,-77.4612
21703,Frederick,MD,39.3647,-77.4636
21774,New Market,MD,39.4096,-77.2759
21784,Sykesville,MD,39.4567,-76.9696
21798,Woodsboro,MD,39.5311,-77.2972
30004,Alpharetta,GA,34.1124,-84.302
30005,Alpharetta,GA,34.0782,-84.2281
30009,Alpharetta,GA,34.077,-84.3033
30013,Conyers,GA,33.6436,-83.9684
30017,Grayson,GA,33.8901,-83.9632
30019,Dacula,GA,33.9883,-83.8795
30022,Alpharetta,GA,34.0268,-84.2422
30024,Suwanee,GA,34.0425,-84.0262
30030,Decatur,GA,33.7699,-84.295
30032,Decatur,GA,33.7408,-84.2632
30034,Decatur,GA,33.6954,-84.2489
30035,Decatur,GA,33.7278,-84.2143
30038,Lithonia,GA,33.6823,-84.161
30039,Snellville,GA,33.8178,-84.0229
30040,Cumming,GA,34.2321,-84.158
30041,Cumming,GA,34.2037,-84.1031
30043,Lawrenceville,GA,34.0031,-84.0126
30044,Lawrenceville,GA,33.9418,-84.0706
30045,Lawrenceville,GA,33.9367,-83.9573
30046,Lawrenceville,GA,33.9496,-83.9942
30047,Lilburn,GA,33.8656,-84.0725
30058,Lithonia,GA,33.7356,-84.1009
30060,Marietta,GA,33.9382,-84.5403
30062,Marietta,GA,34.0025,-84.4633
30064,Marietta,GA,33.9343,-84.6076
30066,Marietta,GA,34.0378,-84.5038
30067,Marietta,GA,33.9282,-84.4733
30068,Marietta,GA,33.9679,-84.4385
30071,Norcross,GA,33.9381,-84.1972
30075,Roswell,GA,34.0408,-84.3859
30076,Roswell,GA,34.0213,-84.3104
30078,Snellville,GA,33.8635,-84.0081
30080,Smyrna,GA,33.8796,-84.5023
30082,Smyrna,GA,33.8631,-84.5382
30083,Stone Mountain,GA,33.7942,-84.2018
30084,Tucker,GA,33.857,-84.216
30087,Stone Mountain,GA,33.8082,-84.1702
30092,Peachtree Corners,GA,33.9701,-84.2216
30093,Norcross,GA,33.906,-84.184
30096,Duluth,GA,33.9845,-84.1529
30097,Duluth,GA,34.026,-84.147
